PV | CANDIDATO | ADRIANA FERREIRA | 20573384000149,2458,0.00000000000000000000
PSC | CANDIDATO | MARCOS CESAR ZAMPIERI | 20567916000135,8987,0.00000000000000000000
PP | CANDIDATO | SERGIO JOSÉ VILLELA BARONCINI | 20572782000140,2337,0.00000000000000000000
PSDC | CANDIDATO | FERNANDO SANT'ANA | 20614136000107,1590,0.00000000000000000000
SD | CANDIDATO | OSNI DA SILVA SILVEIRA | 20574681000109,1325,0.00000000000000000000
PSDC | CANDIDATO | ISAAK JOEL PEREIRA ALMEIDA | 20576242000135,1347,0.00000000000000000000
PMDB | CANDIDATO | MARCUS ANTONIO ELIAS ROQUE | 20572924000170,12643,0.00000000000000000000
PTB | CANDIDATO | AMAURI DOLENGA DOS SANTOS | 20576830000179,6772,0.00000000000000000000
PDT | CANDIDATO | MAICON GUEDES HUGO | 20577012000190,993,0.00000000000000000000
PMN | CANDIDATO | MANOEL BATISTA DA SILVA JUNIOR | 20573211000120,62707,0.00000000000000000000
PSOL | CANDIDATO | THIAGO DE SOUSA BAGATIN | 20559082000116,5366,0.00000000000000000000
PT | CANDIDATO | VANDERLEY ZIGER | 20576935000128,28064,0.00000000000000000000
PTC | CANDIDATO | GILDA FERREIRA ZANETTI | 20581962000199,103,0.00000000000000000000
SD | CANDIDATO | PAULO HENRIQUE AREIAS HORACIO | 20574591000118,3566,0.00000000000000000000
PSDC | CANDIDATO | PEDRO CONCEIÇÃO DO NASCIMENTO | 20580702000107,161,0.00000000000000000000
PTB | CANDIDATO | JANAINA VANESSA DE CAMPOS SCHNEIDER | 20577004000144,3802,0.00000000000000000000
PPS | CANDIDATO | SILVANA BARBOSA LIMA RIBAS | 20572990000140,196,0.00000000000000000000
PDT | CANDIDATO | JOAQUIM THEOPHILO GABRIEL | 20573854000174,353,0.00000000000000000000
PT | CANDIDATO | CRISTINA FÉLIX DA SILVA | 20569383000120,941,0.00000000000000000000
PSL | CANDIDATO | LEVI SERGIO | 20572617000199,808,0.00000000000000000000
PTN | CANDIDATO | LUIZ ANTONIO FERREIRA PEREIRA | 20576931000140,488,0.00000000000000000000
PSC | CANDIDATO | PAULO SERGIO VIEIRA | 20786476000107,0,0.00000000000000000000
PDT | CANDIDATO | JURANDIR JURA PINTO ROSA | 20576713000105,564,0.00000000000000000000
PT do B | CANDIDATO | SIMONE GASPAR TEIXEIRA | 20572893000157,244,0.00000000000000000000
PV | CANDIDATO | MARCIO ROSA DA SILVA | 20568829000100,7433,0.00000000000000000000
PTN | CANDIDATO | MAURÍCIO ROBERTO RIVABEM | 20576925000192,12744,0.00000000000000000000
PV | CANDIDATO | JANETE APARECIDA BARTOSKI LAROCA DOS SANTOS | 20572010000109,324,0.00000000000000000000
PP | CANDIDATO | MARIA SILVANI ARAUJO GONÇALVES | 20572801000139,950,0.00000000000000000000
PMN | CANDIDATO | ARILDO ARRUDA DE OLIVEIRA | 20576106000145,1031,0.00000000000000000000
PSDB | CANDIDATO | ROGERIO MASSING | 20573363000123,3128,0.00000000000000000000
PSC | CANDIDATO | LEONALDO PARANHOS DA SILVA | 20572143000185,69684,0.00000000000000000000
PMDB | CANDIDATO | NEIDE MARIA CARDOSO | 20571728000180,1054,0.00000000000000000000
PV | CANDIDATO | VALDECIR HENRIQUE VAZ DE CAMARGO | 20572453000108,246,0.00000000000000000000
PV | CANDIDATO | CRISTIANO DE JESUS ROSA | 20569156000103,195,0.00000000000000000000
PV | CANDIDATO | EDUARDO GUILHERME REINER | 20569481000168,3235,0.00000000000000000000
PP | CANDIDATO | DAGMAR PIOLI GONÇALVES | 20572750000145,218,0.00000000000000000000
PSL | CANDIDATO | MARCIO DA SILVA | 20569142000181,488,0.00000000000000000000
PTN | CANDIDATO | EDY PETERSON GENIUS NUNES | 20576031000100,903,0.00000000000000000000
PHS | CANDIDATO | ANTONIO CARLOS SIDRIN | 20576789000130,8034,0.00000000000000000000
PPS | CANDIDATO | ARMANDO DIADOSK | 20571926000144,696,0.00000000000000000000
PEN | CANDIDATO | JOÃO JOSE DOS SANTOS | 20581768000103,1344,0.00000000000000000000
PTN | CANDIDATO | ALCIONE MENINO DOS SANTOS | 20632459000115,51,0.00000000000000000000
PROS | CANDIDATO | JOSÉ DE OLIVEIRA REIS NETO | 20576321000146,2459,0.00000000000000000000
PMDB | CANDIDATO | JOSE ANTONIO DE MELO FILHO | 20569058000168,2440,0.00000000000000000000
PSC | CANDIDATO | ROZANGELA VIDAL DOS SANTOS | 20573484000175,782,0.00000000000000000000
PSB | CANDIDATO | CARMEN CHAVES SOARES | 20572560000128,155,0.00000000000000000000
PV | CANDIDATO | MAURI MIGUEL | 20571091000122,648,0.00000000000000000000
PMN | CANDIDATO | ODAIR MARCOS ROSSA PASA | 20605032000128,2459,0.00000000000000000000
PSB | CANDIDATO | GUILHERME DE MAGALHÃES SPANGUEMBERG | 20569140000192,4617,0.00000000000000000000
PSC | CANDIDATO | EUNICE DO CARMO SALLES BINA | 20572362000164,459,0.00000000000000000000
PV | CANDIDATO | JOÃO AUGUSTO BARBOSA | 20569068000101,446,0.00000000000000000000
PSD | CANDIDATO | RICARDO APARECIDO MAIA KOTSIFAS | 20566585000119,6922,0.00000000000000000000
PV | CANDIDATO | EMERSON LEONEVAL BORGES | 20573361000134,0,0.00000000000000000000
PV | CANDIDATO | VERA LUCIA CORACINI ZANELLO | 20570879000114,216,0.00000000000000000000
PP | CANDIDATO | MARLOVA ELIZABETE SILVEIRA | 20573422000163,264,0.00000000000000000000
SD | CANDIDATO | PATRICIA DE OLIVEIRA PASSOS | 20573858000152,236,0.00000000000000000000
PPS | CANDIDATO | RENATO BAGGIO BERBICZ | 20569029000104,3175,0.00000000000000000000
SD | CANDIDATO | OSCALINO DE MELO | 20574213000134,3371,0.00000000000000000000
PTN | CANDIDATO | ELISEU RIBEIRO DA SILVA | 20577039000183,1264,0.00000000000000000000
PP | CANDIDATO | OILSON MULLER | 20571300000138,6,0.00000000000000000000
PRTB | CANDIDATO | DIVINO VALDIR DA CRUZ SILVA | 20571107000105,1156,0.00000000000000000000
PSC | CANDIDATO | TANIA MARA ABRÃO GUERREIRO | 20566475000157,0,0.00000000000000000000
PSC | CANDIDATO | MARISA LOBO FRANCO FERREIRA ALVES | 20569486000190,14902,0.00000000000000000000
PHS | CANDIDATO | KELLY SUSEL MENEGARI OLIVEIRA SANTOS | 20569466000110,1006,0.00000000000000000000
PTN | CANDIDATO | ORELIO FONTANA NETO | 20572164000109,504,0.00000000000000000000
PMDB | CANDIDATO | SONIA MARIA BARBOSA BRAGA | 20571481000100,2154,0.00000000000000000000
PSC | CANDIDATO | EMERSON MIGUEL PETRIV | 20568318000180,12110,0.00000000000000000000
PMDB | CANDIDATO | WALDYR ORTENCIO PUGLIESI | 20570103000102,13706,0.00000000000000000000
PSDB | CANDIDATO | SANDRA MARQUES PRADO | 20659707000111,239,0.00000000000000000000
PTN | CANDIDATO | CÂNDIDO DE MATOS GOMES | 20604091000181,1041,0.00000000000000000000
PT | CANDIDATO | ANTONIA PASSOS DE ARAUJO | 20637453000130,1485,0.00000000000000000000
PV | CANDIDATO | MARCOS VIEIRA | 20571940000148,4593,0.00000000000000000000
PPL | CANDIDATO | ANDERSON LUIZ BUENO | 20569150000128,4787,0.00000000000000000000
PDT | CANDIDATO | JOSE GIULIANGELI DE CASTRO | 20574670000129,4599,0.00000000000000000000
PPS | CANDIDATO | CACILDA DE FATIMA DE MORAES NUNES | 20572456000133,290,0.00000000000000000000
PSB | CANDIDATO | ELIZABETH SILVEIRA SCHMIDT | 20574301000136,11488,0.00000000000000000000
PTC | CANDIDATO | CESAR BISPO SILVA | 20581168000145,308,0.00000000000000000000
PV | CANDIDATO | MARCELO ROVEDA | 20573004000176,381,0.00000000000000000000
PSC | CANDIDATO | FATIMA DOS SANTOS | 21031258000125,16,0.00000000000000000000
PMDB | CANDIDATO | WILLIAM CEZAR POLLONIO MACHADO | 20604602000165,7880,0.00000000000000000000
PTB | CANDIDATO | LUIZ PAIOLA | 20576304000109,15824,0.00000000000000000000
PTN | CANDIDATO | MARIA APARECIDA DE BONFIM | 20604082000190,210,0.00000000000000000000
PSOL | CANDIDATO | LEANDRO SANTOS DIAS | 20559416000151,1727,0.00000000000000000000
PSC | CANDIDATO | CLOVIS JOSE GUGELMIN DISTEFANO | 20567557000116,11207,0.00000000000000000000
PT do B | CANDIDATO | ELVIS GIMENES | 20571933000146,151,0.00000000000000000000
